date,open,high,close
2017-07-19,148.1765,149.1022,148.7083
2017-07-20,149.1809,149.4173,148.0387
2017-07-21,147.694,148.1372,147.9698
2017-07-24,148.275,150.1065,149.7619
2017-07-25,149.4763,151.4851,150.4019
2017-07-26,151.0026,151.5737,151.1109
2017-07-27,151.3965,151.6328,148.2553
2017-07-28,147.5956,147.9304,147.2115
2017-07-31,147.6054,148.0288,146.4533
2017-08-01,154.6558,156.4873,156.1624
2017-08-02,156.8418,157.3046,154.7346
2017-08-03,154.646,154.8035,153.1886
2017-08-04,153.681,154.9906,153.9961
2017-08-07,154.6558,156.4873,156.379
2017-08-08,156.1722,159.3528,157.6296
2017-08-09,156.8221,158.8014,158.5946
2017-08-10,158.0707,158.1696,153.5431
2017-08-11,154.8085,156.7587,155.6784
2017-08-14,157.4974,158.3772,158.0213
2017-08-15,158.822,160.3395,159.7513
2017-08-16,160.0874,160.6509,159.1087
2017-08-17,158.6836,158.8715,156.0541
2017-08-18,156.0541,157.6753,155.6982
2017-08-21,155.6982,156.0837,155.4115
2017-08-22,156.4198,158.1696,157.9521
2017-08-23,157.2502,158.6342,158.1498
2017-08-24,158.5947,158.9011,157.4479
2017-08-25,157.8236,158.7232,158.0312
2017-08-28,158.308,160.1467,159.6228
2017-08-29,158.2684,161.2539,161.0463
2017-08-30,161.9261,162.0151,161.4813
2017-08-31,161.7679,162.6379,162.1238
2017-09-01,162.9147,163.0531,162.1732
2017-09-05,161.8767,162.371,160.2258
2017-09-06,160.8486,161.1254,160.0577
2017-09-07,160.2357,160.3839,159.4152
2017-09-08,159.0197,159.3064,156.8152
2017-09-11,158.6639,160.1961,159.6524
2017-09-12,160.7497,162.0843,159.0197
2017-09-13,158.0411,158.13,157.8236
2017-09-14,157.1711,157.5764,156.4693
2017-09-15,156.6571,159.1285,158.0509
2017-09-18,158.2783,158.6639,156.8548
2017-09-19,157.6852,157.9422,156.9141
2017-09-20,156.0936,156.4495,154.2845
2017-09-21,154.0176,154.0176,151.6352
2017-09-22,150.2809,150.528,150.1524
2017-09-25,148.2741,150.093,148.8277
2017-09-26,150.0436,152.1591,151.3881
2017-09-27,152.0405,152.9489,152.4656
2017-09-28,152.1295,152.515,151.5265
2017-09-29,151.4573,152.3667,152.3568
2017-10-02,152.4952,152.6831,152.0504
2017-10-03,152.2481,153.3157,152.7127
2017-10-04,151.8724,152.0998,151.7242
2017-10-05,152.4162,153.6617,153.6123
2017-10-06,153.1971,153.7112,153.5233
2017-10-09,154.0275,154.937,154.0572
2017-10-10,154.2697,156.1925,154.1165
